x3,x5,x7,y,year
448.19,6212.7,525.71,64.87,1994
549.97,7601.73,618.25,99.75,1995
686.44,8092.82,638.94,88.11,1996
802.59,8767.98,656.58,106.07,1997
904.57,9422.33,758.83,137.32,1998
1000.69,9751.44,878.26,188.14,1999
1121.13,11349.47,923.67,219.91,2000
1248.29,11467.35,978.21,271.91,2001
1370.68,10671.78,1009.24,269.1,2002
1494.27,11570.58,1175.17,300.55,2003
1677.77,13120.83,1348.93,338.45,2004
1905.84,14468.24,1519.16,408.86,2005
2199.14,15444.93,1696.38,476.72,2006
2624.24,18951.32,1863.34,838.99,2007
3187.39,20835.95,2105.54,843.14,2008
3615.77,22820.89,2659.85,1107.67,2009
4476.38,25011.61,3263.57,1399.16,2010
5243.03,28209.74,3412.21,1535.14,2011
5977.27,30490.44,3758.39,1579.68,2012
6882.85,33156.83,4454.55,2088.14,2013
